Read only,Read only,Read only,Read only,Read only,Read only,Read only,Can update,Can update,Read only
business_id,store_id,upc_id,sku_id,item_name,category_l1,category_l2,default_price,status,currency
"15299327","36902681","|034000459698|","|34000459698|","Hershey's Milk Chocolate Snack Size Bag (10.35 oz)","Candy","Chocolate","6.99","Active","USD"
"15299327","36902681","|034000460601|","|34000460601|","Reese's Thins Milk Chocolate & Peanut Butter Cups Share Pack (7.37 oz)","Candy","Chocolate","6.99","Active","USD"
"15299327","36902681","|034000490639|","|34000490639|","Reese's Thins White Creme Peanut Butter Cups Share Pack (7.37 oz)","Candy","Chocolate","6.99","Active","USD"
"15299327","36902681","|034000560028|","|34000560028|","Twizzlers Low Fat Twists Strawberry Licorice Candy Bag (16 oz)","Candy","Fruity","3.25","Active","USD"
"15299327","36902681","|034000939343|","|34000939343|","Cadbury CARAMELLO Miniatures Milk Chocolate & Creamy Caramel Candies Share Pack (8 oz)","Candy","Chocolate","6.97","Active","USD"
"15299327","36902681","|034000940196|","|34000940196|","Hershey's Kisses Cookies 'n' Creme Candy Bag (2.2 oz)","Candy","Chocolate","1.55","Active","USD"
"15299327","36902681","|00034000945207|","|34000945207|","Hershey's Kisses Share Pack Strawberry Ice Cream Cone Candies (9 oz)","Candy","Chocolate","6.99","Active","USD"
"15299327","36902681","|00034000995158|","|34000995158|","Reese's Pieces Peanut Butter Candy Bag (9 oz)","Candy","Chocolate","6.99","Active","USD"
"15299327","36902681","|034000996629|","|34000996629|","Kit Kat Unwrapped Crisp Wafers Milk Chocolate Mini Candy Bag (7.6 oz)","Candy","Chocolate","6.99","Active","USD"
"15299327","36902681","|034000002399|","|3423909|","Hershey's Cookies 'n' Creme Candy Bar (1.55 oz)","Candy","Chocolate","1.99","Active","USD"
"15299327","36902681","|034000002405|","|3424005|","Hershey's Milk Chocolate Candy Bar (1.55 oz)","Candy","Chocolate","1.99","Active","USD"
"15299327","36902681","|034000002467|","|3424607|","Kit Kat Crisp Wafers in Milk Chocolate Candy Bar (1.5 oz)","Candy","Chocolate","1.99","Active","USD"
"15299327","36902681","|034000004409|","|3444009|","Reese's Gluten Free Milk Chocolate Peanut Butter Cups Candy Pack (1.5 oz)","Candy","Chocolate","1.99","Active","USD"
"15299327","36902681","|034000008438|","|3484308|","Ice Breakers Sugar Free Ice Cubes Peppermint Gum Canister (40 ct)","Candy","Gum & Mints","5.25","Active","USD"
"15299327","36902681","|034856028918|","|34856028918|","Welch's Island Fruit Snacks (2.25 oz)","Snacks","Sweets","1.99","Active","USD"
"15299327","36902681","|034856028925|","|34856028925|","Welch’s Fruit Snacks Berries 'N Cherries Fruit Snacks (2.25 oz)","Snacks","Sweets","1.99","Active","USD"
"15299327","36902681","|034856028987|","|34856028987|","Welch’s Fruit Snacks Mixed Fruit Snacks (2.25 oz)","Snacks","Sweets","1.99","Active","USD"
"15299327","36902681","|037466017631|","|37466017631|","Lindt Excellence 70% Cocoa Dark Chocolate Candy Bar (3.5 oz)","Candy","Fruity","5.25","Active","USD"
"15299327","36902681","|038000138577|","|38000138577|","Pringles Cheddar Cheese Potato Crisp Chips Can (5.5 oz)","Snacks","Snack Mixes","2.99","Active","USD"
"15299327","36902681","|038000138607|","|38000138607|","Pringles Crisp On-The-Go Salt & Vinegar Potato Chips Snacks Can (5.5 oz)","Snacks","Chips","2.99","Active","USD"
"15299327","36902681","|038000138720|","|38000138720|","Pringles Ranch Flavored Potato Chips (5.5 oz)","Snacks","Snack Mixes","2.99","Active","USD"
"15299327","36902681","|038000138973|","|38000138973|","Pringles Cheddar & Sour Cream Potato Crisps Chips Can (5.5 oz)","Snacks","Chips","2.99","Active","USD"
"15299327","36902681","|038000183713|","|38000183713|","Pringles BBQ Flavored Potato Crisps Chips Can (5.5 oz)","Snacks","Snack Mixes","2.99","Active","USD"
"15299327","36902681","|1373145|","|38000310300|","Pop Tarts Frosted Blueberry Breakfast Pastries (3.52 oz × 6 ct)","Pantry","Dry Cereal","4.25","Active","USD"
"15299327","36902681","|040000000327|","|40000000327|","M&M's Peanut Milk Chocolate Candy Pouch Full Size (1.74 oz)","Candy","Chocolate","1.99","Active","USD"
"15299327","36902681","|040000000518|","|40000000518|","Starburst Original Fruit Chews Candy Full Size (2.07 oz)","Candy","Fruity","1.89","Active","USD"
"15299327","36902681","|040000001607|","|40000001607|","Skittles Original Chewy Candy Bag Full Size (2.17 oz)","Candy","Fruity","1.50","Active","USD"
"15299327","36902681","|040000001621|","|40000001621|","Skittles Wild Berry Chewy Candy Full Size (2.17 oz)","Candy","Fruity","1.50","Active","USD"
"15299327","36902681","|040000004356|","|40000004356|","TWIX Caramel Milk Chocolate Cookie Candy Bars Full Size (1.79 oz)","Candy","Chocolate","1.99","Active","USD"
"15299327","36902681","|040000422068|","|40000422068|","Milky Way Milk Chocolate Candy Bar Full Size (1.84 oz)","Candy","Chocolate","1.99","Active","USD"
"15299327","36902681","|040000424314|","|40000424314|","Snickers Peanuts Caramel & Nougat Chocolate Candy Bar Full Size (1.86 oz)","Candy","Chocolate","1.99","Active","USD"
"15299327","36902681","|040000443100|","|40000443100|","Milky Way Chocolate Candy Bars (1.84 oz x 6 ct)","Candy","Chocolate","9.00","Active","USD"
